key,en,fr,es,nl,ja
about-cytomine,About Cytomine,À propos de Cytomine,Sobre Cytomine,Over Cytomine,Cytomineについて
absolute-link-mode,Absolute,Absolu,,Absoluut,絶対
access-denied,Access denied,Accès non autorisé,Acceso denegado,Verboden Acces,アクセス拒否
account,Account,Compte,Cuenta,Rekening,アカウント
actions,Actions,Actions,Acciones,Acties,操作
active-projects,Active projects,Projets actifs,Proyectos activos,Actieve projecten,アクティブなプロジェクト
activity-chart-info-message,This chart presents the activity performed in the selected period,Ce graphique présente un résumé de l'activité ayant eu lieu durant la période sélectionnée,Este gráfico presenta la actividad en el período seleccionado,Deze grafiek toont een samenvatting van de activiteit die plaatsvond tijdens de geselecteerde periode,このチャートは選択した期間に実行されたアクティビティを表示します。
activity,Activity,Activité,Actividad,Activiteit,アクティビティ
activity-charts,Activity charts,Graphiques d'activité,Gráficos de actividad,Activiteit grafieken,アクティビティチャート
activity-history,Activity history,Historique de l'activité,Historial de actividad,Activiteit geschiedenis,アクティビティ履歴
activity-logs,Activity logs,Logs d'activité,Registros de actividad,Activiteitenlogboeken,アクティビティログ
activity-of-user,Activity of {username},Activité de l'utilisateur {username},Actividad de {username},Usersactiviteit {username},{username} のアクティビティ
add-attached-file,Add an attached file,Ajouter un fichier joint,Adjuntar archivo,Voeg een bijgevoegd file toe,添付ファイルを追加
add-files,Add files...,Ajouter des fichiers...,Agregar archivos...,Files toevoegen...,ファイルを追加...
add-image,Add image,Ajouter une image,Añadir imagen,Voeg een afbeelging toe,画像を追加
add-images,Add images,Ajout d'images,Añadir imágenes,Afbeeldingen toevoegen,画像を追加
add-images-to-image-group,Add images to image group,Ajouter des images au groupe d'images,Agregar imágenes al grupo de imágenes,Voeg afbeeldingen toe aan de afbeeldingengroep,画像グループに画像を追加
add-inputs,Add inputs,Ajouter des entrées,Añadir entradas,Invoeren toevoegen,入力を追加
add-members-to-project,Add members to project,Ajouter des membres au projet,Agregar miembros al proyecto,Voeg projectleden toe,プロジェクトにメンバーを追加
add-new-comment,Add new comment,Ajouter un nouveau commentaire,Añadir nuevo comentario,Voeg een nieuwe commentaar toe,新しいコメントを追加
add-store,Add Store,Ajouter un magasin,Añadir tienda,Winkel toevoegen,ストアを追加
add-term,Add a term,Nouveau terme,Agregar un término,Nieuwe term,用語を追加
add-to-image-group,Add image to image group,Ajouter l'image à un groupe d'images,Agregar imagen al grupo de imágenes,Afbeelding toevoegen aan afbeeldingsgroep,画像を画像グループに追加
add-track,Add a track,Ajouter une trace,,Track toevoegen,トラックを追加
admin-menu,Admin,Administration,Administración,Administratie,管理
admin,Admin,Admin,Admin,Admin,管理者
